sequence_id	protein_id	gene_start	gene_end	gene_strand	pfam_id	deepbgc_score	in_cluster
NC_008095.1	NC_008095.1_NC_008095.1_15	16411	18307	-1	PF12245	0.01644	0
NC_008095.1	NC_008095.1_NC_008095.1_15	16411	18307	-1	PF10503	0.01536	0
NC_008095.1	NC_008095.1_NC_008095.1_15	16411	18307	-1	PF00326	0.01705	0
NC_008095.1	NC_008095.1_NC_008095.1_15	16411	18307	-1	PF00756	0.01823	0
NC_008095.1	NC_008095.1_NC_008095.1_15	16411	18307	-1	PF12146	0.0207	0
NC_008095.1	NC_008095.1_NC_008095.1_15	16411	18307	-1	PF02230	0.01797	0
NC_008095.1	NC_008095.1_NC_008095.1_15	16411	18307	-1	PF07859	0.03579	0
NC_008095.1	NC_008095.1_NC_008095.1_16	18525	19494	-1	PF02955	0.03707	0
NC_008095.1	NC_008095.1_NC_008095.1_16	18525	19494	-1	PF08443	0.03548	0
NC_008095.1	NC_008095.1_NC_008095.1_16	18525	19494	-1	PF02951	0.04224	0
NC_008095.1	NC_008095.1_NC_008095.1_17	19573	21310	-1	PF00069	0.07457	0
NC_008095.1	NC_008095.1_NC_008095.1_17	19573	21310	-1	PF07714	0.08104	0
NC_008095.1	NC_008095.1_NC_008095.1_20	22470	24672	1	PF15780	0.08517	0
NC_008095.1	NC_008095.1_NC_008095.1_21	24665	25397	-1	PF04250	0.11518	0
NC_008095.1	NC_008095.1_NC_008095.1_22	25821	27285	-1	PF09613	0.05657	0
NC_008095.1	NC_008095.1_NC_008095.1_22	25821	27285	-1	PF14559	0.05259	0
NC_008095.1	NC_008095.1_NC_008095.1_23	27439	28174	-1	PF10988	0.05791	0
NC_008095.1	NC_008095.1_NC_008095.1_24	28263	31128	-1	PF08308	0.0288	0
NC_008095.1	NC_008095.1_NC_008095.1_24	28263	31128	-1	PF00069	0.04016	0
NC_008095.1	NC_008095.1_NC_008095.1_24	28263	31128	-1	PF07714	0.04399	0
NC_008095.1	NC_008095.1_NC_008095.1_25	31390	33286	1	PF08206	0.01396	0
NC_008095.1	NC_008095.1_NC_008095.1_25	31390	33286	1	PF00773	0.01027	0
NC_008095.1	NC_008095.1_NC_008095.1_25	31390	33286	1	PF00575	0.0115	0
NC_008095.1	NC_008095.1_NC_008095.1_29	35218	35713	-1	PF03692	0.01867	0
NC_008095.1	NC_008095.1_NC_008095.1_30	36030	38070	1	PF07238	0.02048	0
NC_008095.1	NC_008095.1_NC_008095.1_31	38086	39049	-1	PF12872	0.00824	0
NC_008095.1	NC_008095.1_NC_008095.1_31	38086	39049	-1	PF01936	0.00668	0
NC_008095.1	NC_008095.1_NC_008095.1_33	39933	40524	1	PF07719	0.00885	0
NC_008095.1	NC_008095.1_NC_008095.1_33	39933	40524	1	PF13432	0.00743	0
NC_008095.1	NC_008095.1_NC_008095.1_33	39933	40524	1	PF14559	0.00997	0
NC_008095.1	NC_008095.1_NC_008095.1_35	41219	41990	-1	PF00702	0.01209	0
NC_008095.1	NC_008095.1_NC_008095.1_35	41219	41990	-1	PF12710	0.01359	0
NC_008095.1	NC_008095.1_NC_008095.1_36	42048	43059	-1	PF13379	0.02397	0
NC_008095.1	NC_008095.1_NC_008095.1_36	42048	43059	-1	PF09084	0.01722	0
NC_008095.1	NC_008095.1_NC_008095.1_36	42048	43059	-1	PF12974	0.02157	0
NC_008095.1	NC_008095.1_NC_008095.1_37	43138	43900	-1	PF00528	0.03969	0
NC_008095.1	NC_008095.1_NC_008095.1_38	43909	44809	-1	PF00005	0.05891	0
NC_008095.1	NC_008095.1_NC_008095.1_38	43909	44809	-1	PF13191	0.07723	0
NC_008095.1	NC_008095.1_NC_008095.1_38	43909	44809	-1	PF01695	0.06127	0
NC_008095.1	NC_008095.1_NC_008095.1_38	43909	44809	-1	PF03193	0.05813	0
NC_008095.1	NC_008095.1_NC_008095.1_38	43909	44809	-1	PF13481	0.06018	0
NC_008095.1	NC_008095.1_NC_008095.1_38	43909	44809	-1	PF13555	0.06653	0
NC_008095.1	NC_008095.1_NC_008095.1_41	46166	47252	1	PF08240	0.13937	0
NC_008095.1	NC_008095.1_NC_008095.1_41	46166	47252	1	PF16912	0.12972	0
NC_008095.1	NC_008095.1_NC_008095.1_41	46166	47252	1	PF07992	0.13708	0
NC_008095.1	NC_008095.1_NC_008095.1_41	46166	47252	1	PF01262	0.11472	0
NC_008095.1	NC_008095.1_NC_008095.1_41	46166	47252	1	PF03486	0.09712	0
NC_008095.1	NC_008095.1_NC_008095.1_41	46166	47252	1	PF00107	0.12183	0
NC_008095.1	NC_008095.1_NC_008095.1_42	47273	49139	1	PF00723	0.15787	0
NC_008095.1	NC_008095.1_NC_008095.1_43	49155	51831	-1	PF09722	0.25308	0
NC_008095.1	NC_008095.1_NC_008095.1_45	53208	53673	-1	PF13665	0.42054	0
NC_008095.1	NC_008095.1_NC_008095.1_51	57098	57971	-1	PF14412	0.34858	0
NC_008095.1	NC_008095.1_NC_008095.1_52	58045	58831	1	PF15575	0.41124	0
NC_008095.1	NC_008095.1_NC_008095.1_53	58836	59880	-1	PF09937	0.30179	0
NC_008095.1	NC_008095.1_NC_008095.1_54	59990	60509	1	PF14907	0.30427	0
NC_008095.1	NC_008095.1_NC_008095.1_56	61149	62271	1	PF09949	0.07664	0
NC_008095.1	NC_008095.1_NC_008095.1_57	62303	64466	-1	PF13090	0.02481	0
NC_008095.1	NC_008095.1_NC_008095.1_57	62303	64466	-1	PF13091	0.01764	0
NC_008095.1	NC_008095.1_NC_008095.1_57	62303	64466	-1	PF02503	0.01434	0
NC_008095.1	NC_008095.1_NC_008095.1_57	62303	64466	-1	PF13089	0.01338	0
NC_008095.1	NC_008095.1_NC_008095.1_58	64648	65146	1	PF04355	0.01264	0
NC_008095.1	NC_008095.1_NC_008095.1_61	68305	70582	1	PF05227	0.00831	0
NC_008095.1	NC_008095.1_NC_008095.1_61	68305	70582	1	PF13188	0.00645	0
NC_008095.1	NC_008095.1_NC_008095.1_61	68305	70582	1	PF00989	0.0058	0
NC_008095.1	NC_008095.1_NC_008095.1_61	68305	70582	1	PF08448	0.00654	0
NC_008095.1	NC_008095.1_NC_008095.1_61	68305	70582	1	PF13426	0.00678	0
NC_008095.1	NC_008095.1_NC_008095.1_61	68305	70582	1	PF08447	0.00846	0
NC_008095.1	NC_008095.1_NC_008095.1_61	68305	70582	1	PF01590	0.01281	0
NC_008095.1	NC_008095.1_NC_008095.1_61	68305	70582	1	PF13185	0.01621	0
NC_008095.1	NC_008095.1_NC_008095.1_61	68305	70582	1	PF13492	0.02236	0
NC_008095.1	NC_008095.1_NC_008095.1_61	68305	70582	1	PF00512	0.03105	0
NC_008095.1	NC_008095.1_NC_008095.1_61	68305	70582	1	PF02518	0.04979	0
NC_008095.1	NC_008095.1_NC_008095.1_62	70591	71488	-1	PF00753	0.07316	0
NC_008095.1	NC_008095.1_NC_008095.1_63	71628	72132	-1	PF12973	0.09639	0
NC_008095.1	NC_008095.1_NC_008095.1_63	71628	72132	-1	PF07883	0.09277	0
NC_008095.1	NC_008095.1_NC_008095.1_63	71628	72132	-1	PF12852	0.1069	0
NC_008095.1	NC_008095.1_NC_008095.1_63	71628	72132	-1	PF02311	0.11486	0
NC_008095.1	NC_008095.1_NC_008095.1_64	72316	73246	-1	PF07238	0.15315	0
NC_008095.1	NC_008095.1_NC_008095.1_65	73388	74741	-1	PF01139	0.12268	0
NC_008095.1	NC_008095.1_NC_008095.1_67	75710	76625	1	PF08281	0.13551	0
NC_008095.1	NC_008095.1_NC_008095.1_67	75710	76625	1	PF04545	0.07485	0
NC_008095.1	NC_008095.1_NC_008095.1_67	75710	76625	1	PF13384	0.08186	0
NC_008095.1	NC_008095.1_NC_008095.1_68	76723	77047	1	PF13629	0.09677	0
NC_008095.1	NC_008095.1_NC_008095.1_69	78127	79564	1	PF13490	0.09451	0
NC_008095.1	NC_008095.1_NC_008095.1_69	78127	79564	1	PF00069	0.09635	0
NC_008095.1	NC_008095.1_NC_008095.1_69	78127	79564	1	PF07714	0.09268	0
NC_008095.1	NC_008095.1_NC_008095.1_69	78127	79564	1	PF01636	0.07966	0
NC_008095.1	NC_008095.1_NC_008095.1_69	78127	79564	1	PF13629	0.07612	0
NC_008095.1	NC_008095.1_NC_008095.1_70	79566	80298	-1	PF13628	0.06427	0
NC_008095.1	NC_008095.1_NC_008095.1_70	79566	80298	-1	PF03713	0.05968	0
NC_008095.1	NC_008095.1_NC_008095.1_71	80455	80911	-1	PF13622	0.07797	0
NC_008095.1	NC_008095.1_NC_008095.1_71	80455	80911	-1	PF03061	0.05079	0
NC_008095.1	NC_008095.1_NC_008095.1_72	80916	81369	-1	PF13622	0.07191	0
NC_008095.1	NC_008095.1_NC_008095.1_72	80916	81369	-1	PF03061	0.05062	0
NC_008095.1	NC_008095.1_NC_008095.1_74	82599	86007	1	PF07676	0.0607	0
NC_008095.1	NC_008095.1_NC_008095.1_74	82599	86007	1	PF01979	0.06358	0
NC_008095.1	NC_008095.1_NC_008095.1_74	82599	86007	1	PF07969	0.07132	0
NC_008095.1	NC_008095.1_NC_008095.1_75	86055	86520	1	PF01661	0.11829	0
NC_008095.1	NC_008095.1_NC_008095.1_77	87913	88792	-1	PF13561	0.24584	0
NC_008095.1	NC_008095.1_NC_008095.1_77	87913	88792	-1	PF00106	0.22557	0
NC_008095.1	NC_008095.1_NC_008095.1_77	87913	88792	-1	PF08659	0.21581	0
NC_008095.1	NC_008095.1_NC_008095.1_77	87913	88792	-1	PF03435	0.17997	0
NC_008095.1	NC_008095.1_NC_008095.1_77	87913	88792	-1	PF02558	0.12775	0
NC_008095.1	NC_008095.1_NC_008095.1_78	88835	89396	-1	PF00440	0.17525	0
NC_008095.1	NC_008095.1_NC_008095.1_79	89569	91279	1	PF07287	0.12833	0
NC_008095.1	NC_008095.1_NC_008095.1_80	91283	92900	1	PF01039	0.07481	0
NC_008095.1	NC_008095.1_NC_008095.1_81	92914	94909	1	PF00289	0.06743	0
NC_008095.1	NC_008095.1_NC_008095.1_81	92914	94909	1	PF15632	0.07944	0
NC_008095.1	NC_008095.1_NC_008095.1_81	92914	94909	1	PF02786	0.08284	0
NC_008095.1	NC_008095.1_NC_008095.1_81	92914	94909	1	PF11379	0.10535	0
NC_008095.1	NC_008095.1_NC_008095.1_81	92914	94909	1	PF02222	0.09578	0
NC_008095.1	NC_008095.1_NC_008095.1_81	92914	94909	1	PF07478	0.11201	0
NC_008095.1	NC_008095.1_NC_008095.1_81	92914	94909	1	PF02655	0.12637	0
NC_008095.1	NC_008095.1_NC_008095.1_81	92914	94909	1	PF02785	0.1314	0
NC_008095.1	NC_008095.1_NC_008095.1_81	92914	94909	1	PF01597	0.10775	0
NC_008095.1	NC_008095.1_NC_008095.1_81	92914	94909	1	PF13533	0.12524	0
NC_008095.1	NC_008095.1_NC_008095.1_81	92914	94909	1	PF00364	0.11499	0
NC_008095.1	NC_008095.1_NC_008095.1_82	95004	96057	1	PF08545	0.261	0
NC_008095.1	NC_008095.1_NC_008095.1_83	96069	96987	1	PF14412	0.16256	0
NC_008095.1	NC_008095.1_NC_008095.1_84	96995	97583	1	PF09535	0.21918	0
NC_008095.1	NC_008095.1_NC_008095.1_85	97597	98335	1	PF15575	0.17906	0
NC_008095.1	NC_008095.1_NC_008095.1_86	98350	99553	-1	PF06779	0.08978	0
NC_008095.1	NC_008095.1_NC_008095.1_86	98350	99553	-1	PF07690	0.09764	0
NC_008095.1	NC_008095.1_NC_008095.1_86	98350	99553	-1	PF13347	0.1023	0
NC_008095.1	NC_008095.1_NC_008095.1_86	98350	99553	-1	PF00083	0.10201	0
NC_008095.1	NC_008095.1_NC_008095.1_87	99615	100686	1	PF14226	0.06069	0
NC_008095.1	NC_008095.1_NC_008095.1_87	99615	100686	1	PF03171	0.06403	0
NC_008095.1	NC_008095.1_NC_008095.1_88	100773	101418	1	PF02798	0.04485	0
NC_008095.1	NC_008095.1_NC_008095.1_88	100773	101418	1	PF13417	0.03658	0
NC_008095.1	NC_008095.1_NC_008095.1_88	100773	101418	1	PF13409	0.03839	0
NC_008095.1	NC_008095.1_NC_008095.1_88	100773	101418	1	PF14497	0.04169	0
NC_008095.1	NC_008095.1_NC_008095.1_88	100773	101418	1	PF13410	0.0497	0
NC_008095.1	NC_008095.1_NC_008095.1_88	100773	101418	1	PF00043	0.05806	0
NC_008095.1	NC_008095.1_NC_008095.1_89	101507	102089	1	PF00440	0.11693	0
NC_008095.1	NC_008095.1_NC_008095.1_90	102328	103465	1	PF16576	0.05358	0
NC_008095.1	NC_008095.1_NC_008095.1_90	102328	103465	1	PF13533	0.04334	0
NC_008095.1	NC_008095.1_NC_008095.1_90	102328	103465	1	PF13437	0.05476	0
NC_008095.1	NC_008095.1_NC_008095.1_90	102328	103465	1	PF00529	0.0704	0
NC_008095.1	NC_008095.1_NC_008095.1_91	103479	106620	1	PF00873	0.05224	0
NC_008095.1	NC_008095.1_NC_008095.1_91	103479	106620	1	PF03176	0.06001	0
NC_008095.1	NC_008095.1_NC_008095.1_91	103479	106620	1	PF02355	0.04862	0
NC_008095.1	NC_008095.1_NC_008095.1_92	106671	107040	-1	PF01883	0.04754	0
NC_008095.1	NC_008095.1_NC_008095.1_93	107032	108109	-1	PF04909	0.04718	0
NC_008095.1	NC_008095.1_NC_008095.1_94	108151	110428	-1	PF00072	0.02019	0
NC_008095.1	NC_008095.1_NC_008095.1_94	108151	110428	-1	PF02518	0.01419	0
NC_008095.1	NC_008095.1_NC_008095.1_94	108151	110428	-1	PF00512	0.01206	0
NC_008095.1	NC_008095.1_NC_008095.1_94	108151	110428	-1	PF08448	0.00935	0
NC_008095.1	NC_008095.1_NC_008095.1_94	108151	110428	-1	PF13426	0.00802	0
NC_008095.1	NC_008095.1_NC_008095.1_94	108151	110428	-1	PF00989	0.00828	0
NC_008095.1	NC_008095.1_NC_008095.1_94	108151	110428	-1	PF08447	0.00995	0
NC_008095.1	NC_008095.1_NC_008095.1_94	108151	110428	-1	PF13188	0.01375	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF01209	0.01857	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF13847	0.0162	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF13489	0.01937	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF08241	0.01845	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF13578	0.01622	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF08242	0.0154	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF13649	0.01124	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF08003	0.01066	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF05175	0.00742	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF01135	0.00967	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF13679	0.00908	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF10017	0.01634	0
NC_008095.1	NC_008095.1_NC_008095.1_95	110593	111340	-1	PF01728	0.01108	0
NC_008095.1	NC_008095.1_NC_008095.1_96	111353	112583	-1	PF07804	0.01428	0
NC_008095.1	NC_008095.1_NC_008095.1_96	111353	112583	-1	PF13657	0.01874	0
NC_008095.1	NC_008095.1_NC_008095.1_97	112584	114258	-1	PF03235	0.02467	0
NC_008095.1	NC_008095.1_NC_008095.1_98	114709	116215	1	PF02225	0.0256	0
NC_008095.1	NC_008095.1_NC_008095.1_98	114709	116215	1	PF04389	0.02121	0
NC_008095.1	NC_008095.1_NC_008095.1_98	114709	116215	1	PF01546	0.02383	0
NC_008095.1	NC_008095.1_NC_008095.1_99	116346	117471	1	PF12802	0.03525	0
NC_008095.1	NC_008095.1_NC_008095.1_99	116346	117471	1	PF01978	0.03111	0
NC_008095.1	NC_008095.1_NC_008095.1_102	118761	119688	-1	PF01636	0.07738	0
NC_008095.1	NC_008095.1_NC_008095.1_103	119697	121449	-1	PF06609	0.06735	0
NC_008095.1	NC_008095.1_NC_008095.1_103	119697	121449	-1	PF07690	0.05947	0
NC_008095.1	NC_008095.1_NC_008095.1_103	119697	121449	-1	PF00083	0.05107	0
NC_008095.1	NC_008095.1_NC_008095.1_103	119697	121449	-1	PF06779	0.04387	0
NC_008095.1	NC_008095.1_NC_008095.1_103	119697	121449	-1	PF12832	0.05219	0
NC_008095.1	NC_008095.1_NC_008095.1_103	119697	121449	-1	PF13347	0.06297	0
NC_008095.1	NC_008095.1_NC_008095.1_104	121720	123724	1	PF01839	0.07441	0
NC_008095.1	NC_008095.1_NC_008095.1_104	121720	123724	1	PF13517	0.0651	0
NC_008095.1	NC_008095.1_NC_008095.1_104	121720	123724	1	PF01186	0.10455	0
NC_008095.1	NC_008095.1_NC_008095.1_105	124013	125240	1	PF12704	0.03574	0
NC_008095.1	NC_008095.1_NC_008095.1_105	124013	125240	1	PF02687	0.03514	0
NC_008095.1	NC_008095.1_NC_008095.1_106	125259	126480	1	PF12704	0.02553	0
NC_008095.1	NC_008095.1_NC_008095.1_106	125259	126480	1	PF02687	0.02953	0
NC_008095.1	NC_008095.1_NC_008095.1_109	127778	129026	1	PF13091	0.01363	0
NC_008095.1	NC_008095.1_NC_008095.1_109	127778	129026	1	PF00614	0.01294	0
NC_008095.1	NC_008095.1_NC_008095.1_110	129077	130409	1	PF13360	0.02678	0
NC_008095.1	NC_008095.1_NC_008095.1_111	130501	131032	1	PF13527	0.01671	0
NC_008095.1	NC_008095.1_NC_008095.1_111	130501	131032	1	PF13480	0.01481	0
NC_008095.1	NC_008095.1_NC_008095.1_111	130501	131032	1	PF00583	0.01549	0
NC_008095.1	NC_008095.1_NC_008095.1_111	130501	131032	1	PF13673	0.01668	0
NC_008095.1	NC_008095.1_NC_008095.1_111	130501	131032	1	PF13508	0.02494	0
NC_008095.1	NC_008095.1_NC_008095.1_112	131034	132699	-1	PF05943	0.03873	0
NC_008095.1	NC_008095.1_NC_008095.1_112	131034	132699	-1	PF05591	0.04788	0
NC_008095.1	NC_008095.1_NC_008095.1_113	132973	134035	1	PF01464	0.03782	0
NC_008095.1	NC_008095.1_NC_008095.1_114	134068	134839	-1	PF12385	0.09852	0
NC_008095.1	NC_008095.1_NC_008095.1_114	134068	134839	-1	PF11814	0.06855	0
NC_008095.1	NC_008095.1_NC_008095.1_114	134068	134839	-1	PF14399	0.10315	0
NC_008095.1	NC_008095.1_NC_008095.1_114	134068	134839	-1	PF13529	0.10504	0
NC_008095.1	NC_008095.1_NC_008095.1_115	134928	136269	-1	PF02954	0.0396	0
NC_008095.1	NC_008095.1_NC_008095.1_115	134928	136269	-1	PF14532	0.0304	0
NC_008095.1	NC_008095.1_NC_008095.1_115	134928	136269	-1	PF00158	0.02805	0
NC_008095.1	NC_008095.1_NC_008095.1_115	134928	136269	-1	PF00004	0.02998	0
NC_008095.1	NC_008095.1_NC_008095.1_115	134928	136269	-1	PF07728	0.02892	0
NC_008095.1	NC_008095.1_NC_008095.1_115	134928	136269	-1	PF01078	0.03236	0
NC_008095.1	NC_008095.1_NC_008095.1_115	134928	136269	-1	PF16697	0.03723	0
NC_008095.1	NC_008095.1_NC_008095.1_115	134928	136269	-1	PF00498	0.05336	0
NC_008095.1	NC_008095.1_NC_008095.1_116	136327	139081	-1	PF13374	0.09158	0
NC_008095.1	NC_008095.1_NC_008095.1_116	136327	139081	-1	PF07719	0.04877	0
NC_008095.1	NC_008095.1_NC_008095.1_116	136327	139081	-1	PF00515	0.04868	0
NC_008095.1	NC_008095.1_NC_008095.1_116	136327	139081	-1	PF13424	0.06344	0
NC_008095.1	NC_008095.1_NC_008095.1_116	136327	139081	-1	PF13432	0.04396	0
NC_008095.1	NC_008095.1_NC_008095.1_116	136327	139081	-1	PF14559	0.04231	0
NC_008095.1	NC_008095.1_NC_008095.1_116	136327	139081	-1	PF00069	0.06661	0
NC_008095.1	NC_008095.1_NC_008095.1_116	136327	139081	-1	PF14531	0.06728	0
NC_008095.1	NC_008095.1_NC_008095.1_116	136327	139081	-1	PF01163	0.06451	0
NC_008095.1	NC_008095.1_NC_008095.1_116	136327	139081	-1	PF07714	0.07632	0
NC_008095.1	NC_008095.1_NC_008095.1_116	136327	139081	-1	PF01636	0.08965	0
NC_008095.1	NC_008095.1_NC_008095.1_118	139836	141180	-1	PF14412	0.09914	0
NC_008095.1	NC_008095.1_NC_008095.1_119	141429	141840	1	PF04010	0.14311	0
NC_008095.1	NC_008095.1_NC_008095.1_120	142084	143503	1	PF00171	0.16	0
NC_008095.1	NC_008095.1_NC_008095.1_121	143577	144831	1	PF12471	0.14208	0
NC_008095.1	NC_008095.1_NC_008095.1_121	143577	144831	1	PF00925	0.11412	0
NC_008095.1	NC_008095.1_NC_008095.1_122	144823	146035	1	PF07958	0.12929	0
NC_008095.1	NC_008095.1_NC_008095.1_123	146047	146683	1	PF14681	0.05658	0
NC_008095.1	NC_008095.1_NC_008095.1_123	146047	146683	1	PF00156	0.04853	0
NC_008095.1	NC_008095.1_NC_008095.1_125	147384	148707	1	PF09587	0.0856	0
NC_008095.1	NC_008095.1_NC_008095.1_126	148839	150870	1	PF11617	0.13156	0
NC_008095.1	NC_008095.1_NC_008095.1_127	150960	151809	1	PF13432	0.1075	0
NC_008095.1	NC_008095.1_NC_008095.1_127	150960	151809	1	PF13371	0.18673	0
NC_008095.1	NC_008095.1_NC_008095.1_128	151805	153659	1	PF11617	0.23441	0
NC_008095.1	NC_008095.1_NC_008095.1_129	153662	154934	-1	PF00654	0.1864	0
NC_008095.1	NC_008095.1_NC_008095.1_129	153662	154934	-1	PF02133	0.25443	0
NC_008095.1	NC_008095.1_NC_008095.1_130	155185	156238	1	PF00657	0.199	0
NC_008095.1	NC_008095.1_NC_008095.1_130	155185	156238	1	PF13472	0.16306	0
NC_008095.1	NC_008095.1_NC_008095.1_134	157989	159615	1	PF00795	0.12517	0
NC_008095.1	NC_008095.1_NC_008095.1_136	160654	162160	-1	PF05199	0.12039	0
NC_008095.1	NC_008095.1_NC_008095.1_136	160654	162160	-1	PF00732	0.10717	0
NC_008095.1	NC_008095.1_NC_008095.1_136	160654	162160	-1	PF05834	0.10769	0
NC_008095.1	NC_008095.1_NC_008095.1_136	160654	162160	-1	PF13450	0.11681	0
NC_008095.1	NC_008095.1_NC_008095.1_136	160654	162160	-1	PF03486	0.09847	0
NC_008095.1	NC_008095.1_NC_008095.1_136	160654	162160	-1	PF01266	0.11909	0
NC_008095.1	NC_008095.1_NC_008095.1_136	160654	162160	-1	PF01946	0.11568	0
NC_008095.1	NC_008095.1_NC_008095.1_136	160654	162160	-1	PF07992	0.11429	0
NC_008095.1	NC_008095.1_NC_008095.1_136	160654	162160	-1	PF00890	0.11313	0
NC_008095.1	NC_008095.1_NC_008095.1_136	160654	162160	-1	PF01494	0.14832	0
NC_008095.1	NC_008095.1_NC_008095.1_137	162329	163220	1	PF12146	0.10731	0
NC_008095.1	NC_008095.1_NC_008095.1_137	162329	163220	1	PF00561	0.09942	0
NC_008095.1	NC_008095.1_NC_008095.1_137	162329	163220	1	PF12697	0.10391	0
NC_008095.1	NC_008095.1_NC_008095.1_137	162329	163220	1	PF02129	0.08589	0
NC_008095.1	NC_008095.1_NC_008095.1_137	162329	163220	1	PF00326	0.08449	0
NC_008095.1	NC_008095.1_NC_008095.1_137	162329	163220	1	PF01738	0.07725	0
NC_008095.1	NC_008095.1_NC_008095.1_137	162329	163220	1	PF05448	0.08264	0
NC_008095.1	NC_008095.1_NC_008095.1_137	162329	163220	1	PF08840	0.0948	0
NC_008095.1	NC_008095.1_NC_008095.1_138	163223	164681	-1	PF00078	0.06502	0
NC_008095.1	NC_008095.1_NC_008095.1_139	165081	166935	-1	PF13480	0.09109	0
NC_008095.1	NC_008095.1_NC_008095.1_140	166931	173468	-1	PF12717	0.05934	0
NC_008095.1	NC_008095.1_NC_008095.1_140	166931	173468	-1	PF13646	0.06363	0
NC_008095.1	NC_008095.1_NC_008095.1_140	166931	173468	-1	PF13360	0.07567	0
NC_008095.1	NC_008095.1_NC_008095.1_140	166931	173468	-1	PF00400	0.08049	0
NC_008095.1	NC_008095.1_NC_008095.1_141	173553	174441	-1	PF02311	0.0602	0
NC_008095.1	NC_008095.1_NC_008095.1_141	173553	174441	-1	PF08007	0.04512	0
NC_008095.1	NC_008095.1_NC_008095.1_141	173553	174441	-1	PF07883	0.04974	0
NC_008095.1	NC_008095.1_NC_008095.1_143	177207	178062	-1	PF03803	0.04006	0
